id;sku;oryginal_url;new_sku;new_ean;new_oryginal_price;new_oryginal_url
146;HGS31031412;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-80-liter-offen-rot;HGS31031412;8713631031412;119.61;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-80-liter-offen-rot
147;HGS73183612;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-50-liter-offen-schwarz;HGS73183612;4012473183612;66.83;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-50-liter-offen-schwarz
148;HGS73183605;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-50-liter-offen-grau;HGS73183605;4012473183605;66.83;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-50-liter-offen-grau
151;HGS31035410;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-20-liter-offen-grau;HGS31035410;8713631035410;60.06;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-20-liter-offen-grau
152;HGS31023127;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-20-liter-offen-aluminium-schwarz;HGS31023127;8713631023127;60.06;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-20-liter-offen-aluminium-schwarz
154;HGS31034529;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-20-liter-offen-schwarz;HGS31034529;8713631034529;60.06;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-20-liter-offen-schwarz
155;HGS31035649;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-20-liter-offen-blau-schwarz;HGS31035649;8713631035649;60.06;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-20-liter-offen-blau-schwarz
156;HGS5651;https://www.hygiene-shop.com/abfalleimer-muelleimer/plastiqline-abfallbehaelter-23-liter-offen-pqa23-weiss;HGS5651;8717775685234;74.73;https://www.hygiene-shop.com/abfalleimer-muelleimer/plastiqline-abfallbehaelter-23-liter-offen-pqa23-weiss
157;HGS5671;https://www.hygiene-shop.com/abfalleimer-muelleimer/plastiqline-abfallbehaelter-23-liter-offen-pqa23-edelstahl-optik;HGS5671;8717775687092;98.70;https://www.hygiene-shop.com/abfalleimer-muelleimer/plastiqline-abfallbehaelter-23-liter-offen-pqa23-edelstahl-optik
158;HGS3893;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-sicherheitsbehaelter-mit-deckel-22-liter-verzinkter-stahl;HGS3893;4030695038930;94.30;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-sicherheitsbehaelter-mit-deckel-22-liter-verzinkter-stahl
161;HGS3892;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-sicherheitsbehaelter-mit-deckel-22-liter-blau;HGS3892;4030695038923;98.09;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-sicherheitsbehaelter-mit-deckel-22-liter-blau
162;HGS3894;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-sicherheitsbehaelter-mit-deckel-22-liter-edelstahl-matt-gebuerstet;HGS3894;4030695038947;152.11;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-sicherheitsbehaelter-mit-deckel-22-liter-edelstahl-matt-gebuerstet
163;HGS11070;https://www.hygiene-shop.com/abfalleimer-muelleimer/mediclinics-edelstahl-abfallbehaelter-80-liter-pp0080-weiss;HGS11070;8435265824030;426.39;https://www.hygiene-shop.com/abfalleimer-muelleimer/mediclinics-edelstahl-abfallbehaelter-80-liter-pp0080-weiss
164;HGS11071;https://www.hygiene-shop.com/abfalleimer-muelleimer/mediclinics-edelstahl-abfallbehaelter-80-liter-pp0080-edelstahl-hochglanz-poliert;HGS11071;8435265824047;517.77;https://www.hygiene-shop.com/abfalleimer-muelleimer/mediclinics-edelstahl-abfallbehaelter-80-liter-pp0080-edelstahl-hochglanz-poliert
165;HGS11072;https://www.hygiene-shop.com/abfalleimer-muelleimer/mediclinics-edelstahl-abfallbehaelter-80-liter-pp0080-edelstahl-matt-gebuerstet;HGS11072;8435265824054;517.77;https://www.hygiene-shop.com/abfalleimer-muelleimer/mediclinics-edelstahl-abfallbehaelter-80-liter-pp0080-edelstahl-matt-gebuerstet
166;HGS31017805;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-tretabfalleimer-30-liter-weiss;HGS31017805;8713631017805;71.41;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-tretabfalleimer-30-liter-weiss
167;HGS31017812;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-tretabfalleimer-30-liter-schwarz;HGS31017812;8713631017812;71.41;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-tretabfalleimer-30-liter-schwarz
168;HGS31017829;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-tretabfalleimer-30-liter-edelstahl-hochglanz-poliert;HGS31017829;8713631017829;71.44;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-tretabfalleimer-30-liter-edelstahl-hochglanz-poliert
170;HGS21021;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-wertstoffsammelgeraet-wsg-55-s-60-liter-antiksilber-einwurfklappe-blau;HGS21021;4030695210213;254.47;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-wertstoffsammelgeraet-wsg-55-s-60-liter-antiksilber-einwurfklappe-blau
